file1,file2,label
case-01/original/T1.java,case-01/plagiarized/L2/03/WelcomeToJava.java,1
case-01/original/T1.java,case-01/plagiarized/L2/05/PrintJava.java,1
case-01/original/T1.java,case-01/plagiarized/L2/02/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L2/01/L2.java,1
case-01/original/T1.java,case-01/plagiarized/L2/04/hellow.java,1
case-01/original/T1.java,case-01/plagiarized/L1/03/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L1/05/HelloWorld.java,1
case-01/original/T1.java,case-01/plagiarized/L1/02/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L1/09/Level1.java,1
case-01/original/T1.java,case-01/plagiarized/L1/01/L1.java,1
case-01/original/T1.java,case-01/plagiarized/L1/06/HelloWorld.java,1
case-01/original/T1.java,case-01/plagiarized/L1/04/T1.java,1
case-01/original/T1.java,case-01/plagiarized/L1/07/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L1/08/Kasus1L1.java,1
case-01/original/T1.java,case-01/plagiarized/L6/03/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L6/05/HelloWorld.java,1
case-01/original/T1.java,case-01/plagiarized/L6/02/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L6/09/Level6.java,1
case-01/original/T1.java,case-01/plagiarized/L6/01/L6.java,1
case-01/original/T1.java,case-01/plagiarized/L6/06/hellow.java,1
case-01/original/T1.java,case-01/plagiarized/L6/04/WelcomeToJava.java,1
case-01/original/T1.java,case-01/plagiarized/L6/07/PrintJava.java,1
case-01/original/T1.java,case-01/plagiarized/L6/08/Kasus1L6.java,1
case-01/original/T1.java,case-01/plagiarized/L3/03/HelloWorld.java,1
case-01/original/T1.java,case-01/plagiarized/L3/05/Kasus1L3.java,1
case-01/original/T1.java,case-01/plagiarized/L3/02/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L3/01/L3.java,1
case-01/original/T1.java,case-01/plagiarized/L3/06/Level3.java,1
case-01/original/T1.java,case-01/plagiarized/L3/04/hellow.java,1
case-01/original/T1.java,case-01/plagiarized/L4/03/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L4/05/hellow.java,1
case-01/original/T1.java,case-01/plagiarized/L4/02/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L4/01/L4.java,1
case-01/original/T1.java,case-01/plagiarized/L4/06/Level4.java,1
case-01/original/T1.java,case-01/plagiarized/L4/04/HelloWorld.java,1
case-01/original/T1.java,case-01/plagiarized/L5/03/WelcomeToJava.java,1
case-01/original/T1.java,case-01/plagiarized/L5/05/PrintJava.java,1
case-01/original/T1.java,case-01/plagiarized/L5/02/Main.java,1
case-01/original/T1.java,case-01/plagiarized/L5/01/L5.java,1
case-01/original/T1.java,case-01/plagiarized/L5/04/hellow.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L2/05/PrintJava.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L2/02/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L2/01/L2.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L2/04/hellow.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/03/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/05/HelloWorld.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/02/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/09/Level1.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/01/L1.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/06/HelloWorld.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/04/T1.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/07/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L1/08/Kasus1L1.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/03/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/05/HelloWorld.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/02/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/09/Level6.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/01/L6.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/06/hellow.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/04/WelcomeToJava.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/07/PrintJava.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L6/08/Kasus1L6.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L3/03/HelloWorld.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L3/05/Kasus1L3.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L3/02/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L3/01/L3.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L3/06/Level3.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L3/04/hellow.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L4/03/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L4/05/hellow.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L4/02/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L4/01/L4.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L4/06/Level4.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L4/04/HelloWorld.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L5/03/WelcomeToJava.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L5/05/PrintJava.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L5/02/Main.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L5/01/L5.java,1
case-01/plagiarized/L2/03/WelcomeToJava.java,case-01/plagiarized/L5/04/hellow.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L2/02/Main.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L2/01/L2.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L2/04/hellow.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/03/Main.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/05/HelloWorld.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/02/Main.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/09/Level1.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/01/L1.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/06/HelloWorld.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/04/T1.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/07/Main.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L1/08/Kasus1L1.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L6/03/Main.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L6/05/HelloWorld.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L6/02/Main.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L6/09/Level6.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L6/01/L6.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L6/06/hellow.java,1
case-01/plagiarized/L2/05/PrintJava.java,case-01/plagiarized/L6/04/WelcomeToJava.java,1
